4 125 0.096558
0.150915 0.310419 0.836368 0.623187 
0.584229 0.947292 0.080065 0.728200 
0.087961 0.315800 0.125108 0.387800 
0.155371 0.479788 0.628591 0.161084 
0.443750 0.495032 0.494817 0.918900 
0.194629 0.678845 0.390466 0.608413 
0.949573 0.882895 0.914469 0.300181 
0.220132 0.863248 0.739653 0.283177 
0.177520 0.717100 0.459726 0.184728 
0.172100 0.132211 0.596462 0.655956 
0.793570 0.605633 0.501987 0.475549 
0.989162 0.048177 0.241406 0.685072 
0.425926 0.292243 0.525221 0.043441 
0.343387 0.466213 0.931282 0.480864 
0.544137 0.481058 0.657442 0.693864 
0.305461 0.457757 0.030978 0.627603 
0.918380 0.709536 0.468682 0.219020 
0.898290 0.109719 0.864131 0.665529 
0.513582 0.034251 0.205440 0.344112 
0.824257 0.552622 0.229770 0.561864 
0.439046 0.213455 0.801363 0.702063 
0.473905 0.502692 0.754929 0.035090 
0.753846 0.118875 0.507078 0.120779 
0.379495 0.895869 0.787824 0.542367 
0.993634 0.266477 0.169646 0.828737 
0.771999 0.180100 0.213152 0.211496 
0.954499 0.163664 0.726497 0.138835 
0.353422 0.631322 0.443160 0.065814 
0.789721 0.226353 0.305885 0.469014 
0.876580 0.804738 0.702198 0.792192 
0.131845 0.739945 0.558298 0.841850 
0.747994 0.259748 0.159888 0.925874 
0.636227 0.564124 0.298069 0.176118 
0.621602 0.543720 0.115516 0.012334 
0.686528 0.729497 0.922075 0.869187 
0.778403 0.999549 0.973623 0.781432 
0.660252 0.666140 0.020212 0.589419 
0.721236 0.691764 0.135562 0.258470 
0.096220 0.653588 0.637727 0.417503 
0.860501 0.510120 0.472336 0.750346 
0.802301 0.964528 0.515242 0.948279 
0.500023 0.901774 0.999842 0.713514 
0.573903 0.389787 0.976477 0.335963 
0.481004 0.446317 0.374762 0.243123 
0.023031 0.017419 0.986581 0.986567 
0.319166 0.439051 0.316386 0.721198 
0.328360 0.092034 0.348309 0.661169 
0.552366 0.420187 0.967473 0.786046 
0.581937 0.577908 0.378177 0.606182 
0.890927 0.869684 0.448481 0.646928 
0.530202 0.185205 0.679609 0.710728 
0.911359 0.452232 0.591756 0.971057 
0.398846 0.380519 0.062139 0.058662 
0.495984 0.127700 0.823143 0.903004 
0.139776 0.047581 0.872989 0.152459 
0.730291 0.586068 0.407037 0.026411 
0.765083 0.913911 0.321623 0.278319 
0.679954 0.527402 0.254247 0.853569 
0.420241 0.792714 0.332110 0.583534 
0.300354 0.151838 0.098831 0.492308 
0.053935 0.957331 0.751179 0.997538 
0.624380 0.356739 0.713945 0.942000 
0.467649 0.848774 0.336549 0.253589 
0.013311 0.660929 0.180165 0.503857 
0.540205 0.765508 0.486913 0.800440 
0.386689 0.194696 0.861843 0.093102 
0.279531 0.932323 0.422792 0.740682 
0.095611 0.905339 0.221339 0.876979 
0.708145 0.725664 0.954843 0.569639 
0.716802 0.986037 0.005658 0.108725 
0.654445 0.877655 0.705509 0.195050 
0.258583 0.325211 0.602496 0.523591 
0.844944 0.782497 0.092672 0.958081 
0.230940 0.028219 0.690636 0.315265 
0.641374 0.335748 0.067967 0.226627 
0.076585 0.513311 0.906482 0.455578 
0.977896 0.703811 0.685802 0.016996 
0.161107 0.680436 0.014921 0.761653 
0.401296 0.822650 0.938705 0.174168 
0.851494 0.207660 0.434213 0.758900 
0.972238 0.340196 0.847176 0.907446 
0.071378 0.279930 0.766515 0.324211 
0.105845 0.569227 0.234437 0.236019 
0.327526 0.172726 0.283653 0.050620 
0.962922 0.841183 0.111568 0.359568 
0.923529 0.768112 0.034771 0.074886 
0.265627 0.065407 0.641090 0.000455 
0.040712 0.831312 0.794496 0.519617 
0.604507 0.009901 0.542113 0.594171 
0.451640 0.622383 0.192192 0.401450 
0.241376 0.640276 0.295625 0.930744 
0.200912 0.236328 0.890446 0.967127 
0.412332 0.222353 0.145674 0.819056 
0.116739 0.285644 0.161022 0.678546 
0.522455 0.639622 0.729124 0.444395 
0.462729 0.395404 0.611606 0.637755 
0.291041 0.245956 0.359379 0.980977 
0.006928 0.922864 0.049995 0.555369 
0.126553 0.744027 0.042060 0.114596 
0.694478 0.080113 0.778499 0.100508 
0.740798 0.550691 0.572047 0.268957 
0.374628 0.613238 0.826548 0.808680 
0.881485 0.410311 0.855279 0.205652 
0.025632 0.157607 0.528447 0.133871 
0.184231 0.596873 0.900667 0.151674 
0.612648 0.404618 0.562572 0.428608 
0.367658 0.754555 0.073510 0.294202 
0.234838 0.788472 0.263239 0.414031 
0.033260 0.007721 0.139912 0.434069 
0.596762 0.978136 0.269121 0.505171 
0.834236 0.061578 0.551365 0.456649 
0.215844 0.375911 0.413575 0.340389 
0.701875 0.808528 0.887295 0.396558 
0.934138 0.347509 0.393422 0.081487 
0.287414 0.300863 0.618990 0.856557 
0.667968 0.936353 0.947256 0.363780 
0.249892 0.076917 0.363222 0.369397 
0.820361 0.250887 0.654483 0.549642 
0.511946 0.139432 0.665078 0.381693 
0.060066 0.103603 0.279220 0.888008 
0.810680 0.529516 0.771599 0.774823 
0.865873 0.837112 0.429478 0.837386 
0.563131 0.365384 0.191594 0.529516 
0.940715 0.429370 0.579697 0.309242 
0.347152 0.968249 0.812805 0.880764 
